,Player,Pick,Position,ID,Draft Year,Projected SPM,Superstar,Starter,Role Player,Bust
516,Cory Jefferson,60,PF,cory-jefferson,2014,-1.143082916,0.000703744,0.053958917,0.371486396,0.573850942
517,Cady Lalanne,55,PF,cady-lalanne,2015,-1.312742518,0.0,0.022921295,0.33122696,0.645851745
518,Caron Butler,10,SF,caron-butler,2002,-0.2353445,0.032246082,0.2784546,0.23619722199999998,0.453102096
519,Rasual Butler,52,SF,rasual-butler,2002,-1.267643847,0.0,0.012007005,0.401378115,0.58661488
520,Dwyane Wade,5,SG,dwyane-wade,2003,0.73870236,0.121054886,0.36919403700000003,0.16243316800000002,0.34731791
521,Pape Sow,47,PF,pape-sow,2004,-1.315876613,0.0,0.028691192999999997,0.324016155,0.6472926520000001
522,Matt Freije,53,SF,matt-freije,2004,-1.4005860280000002,0.0,0.024232549,0.307632509,0.668134942
523,Wayne Simien,29,PF,wayne-simien,2005,-1.277538911,0.000323883,0.045753454000000006,0.330617853,0.623304811
524,Michael Beasley,2,PF,michael-beasley,2008,0.846981643,0.146477495,0.421324201,0.108675799,0.323522505
525,Darnell Jackson,52,PF,darnell-jackson,2008,-0.9976419259999999,0.0,0.075217555,0.429994899,0.494787546
526,Kemba Walker,9,PG,kemba-walker,2011,-0.08425919999999999,0.026504944,0.308561144,0.25395791,0.410976002
527,Tobias Harris,19,PF,tobias-harris,2011,-0.234177374,0.009266667,0.250383333,0.38741666700000005,0.35293333299999996
528,Michael Kidd-Gilchrist,2,SF,michael-kidd-gilchrist,2012,0.796144638,0.076,0.531266667,0.138666667,0.25406666699999997
529,Cody Zeller,4,PF,cody-zeller,2013,0.23832921,0.01624033,0.35554925200000004,0.375353221,0.252857198
530,Frank Kaminsky,9,C,frank-kaminsky,2015,-0.072352472,0.006718361,0.352834529,0.327164489,0.31328262100000004
531,Earl Watson,39,PG,earl-watson,2001,-0.563747433,0.001241294,0.257464757,0.296876283,0.444417665
532,Bobby Simmons,41,SG,bobby-simmons,2001,-0.709098285,0.005450215,0.136538291,0.409643638,0.448367856
533,Nick Collison,12,PF,nick-collison,2003,-0.510828996,0.000402432,0.24349180899999998,0.390875446,0.36523031200000006
534,Luke Ridnour,14,PG,luke-ridnour,2003,-0.532528811,0.0039437940000000005,0.24611508699999998,0.269305838,0.480635281
535,Willie Green,41,SG,willie-green,2003,-1.3486290769999998,0.001245667,0.016560229,0.36041085100000003,0.6217832529999999
536,Andre Emmett,35,SG,andre-emmett,2004,-1.2764718990000001,0.004548263,0.029744978999999998,0.341697625,0.624009134
537,David Young,41,SG,david-young,2004,-1.3470163080000002,0.000125864,0.022014507000000003,0.348832549,0.62902708
538,Lawrence Roberts,55,PF,lawrence-roberts,2005,-1.287072385,0.000679927,0.043618345,0.304433034,0.651268694
539,Denham Brown,40,SG,denham-brown,2006,-1.121864202,0.0,0.041736569,0.42947969700000005,0.528783734
540,Jeff Teague,19,PG,jeff-teague,2009,-0.727211835,0.006131172,0.214101298,0.244245716,0.535521813
541,Damion James,24,SF,damion-james,2010,-0.95337406,0.001767445,0.111348887,0.376728061,0.5101556070000001
542,Keith Benson,48,C,keith-benson,2011,-1.379251302,0.000125438,0.031224406,0.288214225,0.680435931
543,Rafael Araujo,8,C,rafael-araujo,2004,-0.9236678629999999,0.0026660090000000004,0.10371358,0.36252711600000004,0.531093296
544,Charlie Villanueva,7,PF,charlie-villanueva,2005,-0.24409248,0.0069573180000000005,0.285927428,0.37091110899999996,0.336204145
545,Joey Graham,16,SF,joey-graham,2005,-0.9400706059999999,0.002051043,0.096297569,0.424085031,0.47756635700000005
546,Andrew Nicholson,19,PF,andrew-nicholson,2012,-1.0826602490000001,0.000630555,0.066266506,0.397673392,0.535429547
